id,instruction,modality_hint,task,class
817,Can you enhance the downsampled resolution affecting the myocardial wall while preserving anatomical realism urgently?,implicit,medical image restoration – super-resolution,SR
60,Please remove statistical noise amplification in this CT scan affecting the hepatic vessels while preserving low-contrast pathology for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
905,Can someone eliminate structured noise in this CT image affecting the orbital structures while maintaining diagnostic contrast for immediate review?,CT,medical image restoration – denoising,noise
383,Please refine the low spatial resolution in this PET image affecting the bowel wall without hallucinating structures for accurate diagnosis?,PET,medical image restoration – super-resolution,SR
667,Can you mitigate background acquisition noise in this X-ray image affecting the pulmonary vessels without masking small structures for accurate diagnosis?,X-ray,medical image restoration – denoising,noise
959,Could you boost the blurred detail due to low resolution affecting the orbital structures while preserving subtle pathology as soon as possible?,implicit,medical image restoration – super-resolution,SR
830,Would you suppress dose-induced graininess affecting the pancreatic tissue without introducing artificial smoothing for accurate diagnosis?,implicit,medical image restoration – low-dose artifact reduction,low-dose
131,Can someone sharpen the resolution degradation from fast acquisition in this X-ray image affecting the lesion boundaries while keeping boundaries anatomically consistent ?,X-ray,medical image restoration – super-resolution,SR
342,Is it possible to refine the coarse voxel resolution in this MRI image affecting the splenic tissue without distorting small structures for reliable interpretation?,MRI,medical image restoration – super-resolution,SR
482,"For clinical review, can you clean up dose reduction banding in this CT scan affecting the splenic tissue while preserving diagnostic contrast for reliable interpretation?",CT,medical image restoration – low-dose artifact reduction,low-dose
205,Please reduce Poisson noise in this X-ray image affecting the renal medulla without compromising spatial resolution for reliable interpretation?,X-ray,medical image restoration – denoising,noise
160,Would you correct Gaussian noise in this PET image affecting the surrounding parenchyma while maintaining diagnostic contrast urgently?,PET,medical image restoration – denoising,noise
291,"For clinical review, can you reduce sparse-view artifacts in this X-ray scan affecting the tumor margins without obscuring subtle lesions for immediate clinical assessment?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
534,Can someone minimize background acquisition noise in this PET image affecting the soft tissue planes without oversmoothing edges ?,PET,medical image restoration – denoising,noise
806,Can someone sharpen respiratory motion blur affecting the bone trabeculae while maintaining diagnostic contrast for reliable interpretation?,implicit,medical image restoration – deblurring,blur
707,Please address sparse-view artifacts in this PET scan affecting the spinal cord while preserving low-contrast pathology for reliable interpretation?,PET,medical image restoration – low-dose artifact reduction,low-dose
875,Can someone address statistical noise in this X-ray image affecting the bone trabeculae while preserving subtle pathology for immediate review?,X-ray,medical image restoration – denoising,noise
276,Please improve the resolution degradation from fast acquisition in this X-ray image affecting the tumor margins without hallucinating structures for reliable interpretation?,X-ray,medical image restoration – super-resolution,SR
579,Can you sharpen motion blur affecting the bowel wall without creating ringing artifacts for accurate diagnosis?,implicit,medical image restoration – deblurring,blur
280,Is it possible to compensate for low-dose noise patterns in this PET scan affecting the abdominal organs without introducing artificial smoothing ?,PET,medical image restoration – low-dose artifact reduction,low-dose
419,Can someone improve the thick-slice resolution in this MRI image affecting the pulmonary vessels while preserving subtle pathology ?,MRI,medical image restoration – super-resolution,SR
363,Can you filter out statistical noise in this X-ray image affecting the white matter tracts without compromising spatial resolution as soon as possible?,X-ray,medical image restoration – denoising,noise
1,Can you address partial volume blur in this MRI image affecting the nerve roots without creating ringing artifacts urgently?,MRI,medical image restoration – deblurring,blur
427,Please enhance the loss of high-frequency detail in this CT image affecting the pulmonary vessels without introducing artificial textures ?,CT,medical image restoration – super-resolution,SR
729,Please recover the insufficient in-plane resolution affecting the lesion boundaries without distorting small structures for immediate review?,implicit,medical image restoration – super-resolution,SR
846,Please sharpen the loss of high-frequency detail affecting the liver parenchyma without introducing artificial textures as soon as possible?,implicit,medical image restoration – super-resolution,SR
965,"For this case, can you compensate for partial volume blur in this PET image affecting the bowel wall without amplifying noise for accurate diagnosis?",PET,medical image restoration – deblurring,blur
254,Please improve the thick-slice resolution in this MRI image affecting the bone trabeculae without distorting small structures for reliable interpretation?,MRI,medical image restoration – super-resolution,SR
12,Can someone address Rician noise in this MRI image affecting the shoulder tendons while preserving subtle pathology ?,MRI,medical image restoration – denoising,noise
248,I need you to correct respiratory motion blur in this X-ray image affecting the orbital structures without amplifying noise urgently?,X-ray,medical image restoration – deblurring,blur
426,Could you address photon starvation noise in this CT image affecting the hip joint without compromising spatial resolution as soon as possible?,CT,medical image restoration – denoising,noise
112,Would you attenuate quantum mottle in this CT scan affecting the tumor margins without blurring fine anatomy ?,CT,medical image restoration – low-dose artifact reduction,low-dose
977,Can you upscale the reduced sampling density in this X-ray image affecting the hippocampus while preserving subtle pathology for immediate review?,X-ray,medical image restoration – super-resolution,SR
408,Please increase the coarse voxel resolution in this X-ray image affecting the myocardial wall without distorting small structures ?,X-ray,medical image restoration – super-resolution,SR
794,Please sharpen the reduced sampling density in this CT image affecting the orbital structures while keeping boundaries anatomically consistent as soon as possible?,CT,medical image restoration – super-resolution,SR
510,I need you to clean up shot noise in this X-ray image affecting the hip joint while preserving subtle pathology urgently?,X-ray,medical image restoration – denoising,noise
516,Is it possible to restore the blurred detail due to low resolution in this MRI image affecting the vertebral bodies while maintaining diagnostic integrity for immediate review?,MRI,medical image restoration – super-resolution,SR
651,Please address defocus blur in this X-ray image affecting the sinus cavities without creating ringing artifacts as soon as possible?,X-ray,medical image restoration – deblurring,blur
968,Is it possible to attenuate electronic sensor noise affecting the kidney cortex while maintaining diagnostic contrast urgently?,implicit,medical image restoration – denoising,noise
47,Could you mitigate dose reduction banding in this CT scan affecting the orbital tissues without introducing artificial smoothing for immediate clinical assessment?,CT,medical image restoration – low-dose artifact reduction,low-dose
559,Please attenuate electronic sensor noise in this CT image affecting the bowel wall while maintaining diagnostic contrast for reliable interpretation?,CT,medical image restoration – denoising,noise
801,Would you recover the resolution degradation from fast acquisition in this X-ray image affecting the intervertebral discs while preserving subtle pathology for accurate diagnosis?,X-ray,medical image restoration – super-resolution,SR
176,Can you mitigate respiratory motion blur in this CT image affecting the tumor margins without creating ringing artifacts ?,CT,medical image restoration – deblurring,blur
279,I need you to correct out-of-plane motion blur in this X-ray image affecting the soft tissue planes while preserving natural texture as soon as possible?,X-ray,medical image restoration – deblurring,blur
136,Could you remove shot noise in this X-ray image affecting the nerve roots without masking small structures for accurate diagnosis?,X-ray,medical image restoration – denoising,noise
553,Would you sharpen the loss of high-frequency detail in this X-ray image affecting the vascular lumen while keeping boundaries anatomically consistent ?,X-ray,medical image restoration – super-resolution,SR
485,"For clinical review, can you compensate for statistical noise amplification affecting the bone trabeculae while preserving low-contrast pathology for immediate clinical assessment?",implicit,medical image restoration – low-dose artifact reduction,low-dose
431,"For this scan, can you suppress dose-induced graininess in this PET scan affecting the renal medulla while preserving diagnostic contrast for immediate clinical assessment?",PET,medical image restoration – low-dose artifact reduction,low-dose
530,I need you to reduce quantum mottle affecting the lesion boundaries without introducing artificial smoothing ?,implicit,medical image restoration – low-dose artifact reduction,low-dose
520,Can you restore the thick-slice resolution affecting the pancreatic tissue without hallucinating structures as soon as possible?,implicit,medical image restoration – super-resolution,SR
692,Please mitigate partial volume blur in this MRI image affecting the shoulder tendons without distorting fine structures ?,MRI,medical image restoration – deblurring,blur
962,Could you refine the blurred detail due to low resolution in this PET image affecting the white matter tracts while preserving subtle pathology urgently?,PET,medical image restoration – super-resolution,SR
417,Is it possible to sharpen system-induced blur in this X-ray image affecting the lung parenchyma while preserving natural texture for accurate diagnosis?,X-ray,medical image restoration – deblurring,blur
890,"For clinical review, can you suppress low-dose noise patterns in this CT scan affecting the cerebral vessels without blurring fine anatomy as soon as possible?",CT,medical image restoration – low-dose artifact reduction,low-dose
218,Is it possible to correct partial volume blur in this PET image affecting the pulmonary vessels without introducing artificial edges urgently?,PET,medical image restoration – deblurring,blur
489,Can you clean up low-photon streaking in this PET scan affecting the pelvic organs without altering attenuation relationships as soon as possible?,PET,medical image restoration – low-dose artifact reduction,low-dose
972,I need you to mitigate structured noise in this PET image affecting the white matter tracts without oversmoothing edges as soon as possible?,PET,medical image restoration – denoising,noise
406,I need you to sharpen the limited through-plane resolution in this PET image affecting the cardiac chambers without hallucinating structures ?,PET,medical image restoration – super-resolution,SR
112,Can you increase the low spatial resolution in this MRI image affecting the cortical bone while keeping boundaries anatomically consistent ?,MRI,medical image restoration – super-resolution,SR
904,Is it possible to undo temporal blurring in this X-ray image affecting the hepatic vessels while keeping anatomical boundaries sharp urgently?,X-ray,medical image restoration – deblurring,blur
926,I need you to address noise from aggressive dose reduction in this CT scan affecting the cerebral vessels while preserving diagnostic contrast for reliable interpretation?,CT,medical image restoration – low-dose artifact reduction,low-dose
913,"For this case, can you undo temporal blurring in this MRI image affecting the meniscal tissue without amplifying noise ?",MRI,medical image restoration – deblurring,blur
470,Please sharpen the reduced sampling density in this CT image affecting the bowel wall while preserving subtle pathology as soon as possible?,CT,medical image restoration – super-resolution,SR
728,Is it possible to compensate for partial volume blur in this MRI image affecting the brain cortex while maintaining diagnostic contrast urgently?,MRI,medical image restoration – deblurring,blur
756,Please enhance the blurred detail due to low resolution in this CT image affecting the myocardial wall without introducing artificial textures for reliable interpretation?,CT,medical image restoration – super-resolution,SR
80,Can someone sharpen the downsampled resolution in this X-ray image affecting the small lung nodules without introducing artificial textures for reliable interpretation?,X-ray,medical image restoration – super-resolution,SR
826,Could you correct low-photon streaking in this X-ray scan affecting the pulmonary vessels without obscuring subtle lesions for reliable interpretation?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
156,Could you clean up dose reduction banding affecting the liver parenchyma while maintaining anatomical fidelity ?,implicit,medical image restoration – low-dose artifact reduction,low-dose
450,Please remove cardiac motion blur in this X-ray image affecting the meniscal tissue while preserving natural texture as soon as possible?,X-ray,medical image restoration – deblurring,blur
396,Can you correct shot noise in this MRI image affecting the intervertebral discs without altering intensity relationships for accurate diagnosis?,MRI,medical image restoration – denoising,noise
377,Can you address out-of-plane motion blur in this PET image affecting the bone trabeculae without amplifying noise for accurate diagnosis?,PET,medical image restoration – deblurring,blur
143,Would you improve the thick-slice resolution in this CT image affecting the vertebral bodies while maintaining diagnostic integrity for immediate review?,CT,medical image restoration – super-resolution,SR
753,Would you minimize structured noise in this CT image affecting the bone trabeculae while preserving subtle pathology urgently?,CT,medical image restoration – denoising,noise
967,I need you to sharpen the thick-slice resolution affecting the lesion boundaries without amplifying noise ?,implicit,medical image restoration – super-resolution,SR
434,Could you undo reconstruction blur affecting the lesion boundaries without introducing artificial edges for reliable interpretation?,implicit,medical image restoration – deblurring,blur
953,Can you address scanner motion blur in this PET image affecting the kidney cortex while keeping anatomical boundaries sharp ?,PET,medical image restoration – deblurring,blur
372,Could you sharpen cardiac motion blur affecting the splenic tissue while preserving subtle pathology for reliable interpretation?,implicit,medical image restoration – deblurring,blur
278,Could you improve the coarse voxel resolution in this MRI image affecting the abdominal organs without distorting small structures for accurate diagnosis?,MRI,medical image restoration – super-resolution,SR
397,I need you to suppress low-dose noise patterns in this PET scan affecting the soft tissue planes without altering attenuation relationships as soon as possible?,PET,medical image restoration – low-dose artifact reduction,low-dose
422,Can you mitigate low-dose noise in this MRI image affecting the knee cartilage while keeping anatomical boundaries sharp ?,MRI,medical image restoration – denoising,noise
701,I need you to mitigate partial volume blur in this CT image affecting the cortical bone without distorting fine structures for accurate diagnosis?,CT,medical image restoration – deblurring,blur
868,Is it possible to clean up noise from aggressive dose reduction in this X-ray scan affecting the lesion boundaries without blurring fine anatomy for immediate clinical assessment?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
645,Please resolve temporal blurring in this X-ray image affecting the hepatic vessels without creating ringing artifacts for accurate diagnosis?,X-ray,medical image restoration – deblurring,blur
458,Can you eliminate electronic sensor noise in this PET image affecting the pulmonary vessels while preserving natural texture as soon as possible?,PET,medical image restoration – denoising,noise
666,Can someone reduce reconstruction blur in this CT image affecting the renal medulla without amplifying noise for immediate review?,CT,medical image restoration – deblurring,blur
504,I need you to filter out low-dose noise affecting the coronary vessels without compromising spatial resolution for reliable interpretation?,implicit,medical image restoration – denoising,noise
428,Is it possible to suppress Gaussian noise in this MRI image affecting the lung parenchyma without compromising spatial resolution as soon as possible?,MRI,medical image restoration – denoising,noise
633,"For this case, can you eliminate shot noise in this X-ray image affecting the tumor margins while preserving subtle pathology urgently?",X-ray,medical image restoration – denoising,noise
421,Would you suppress sparse-view artifacts in this PET scan affecting the brain cortex while maintaining anatomical fidelity for reliable interpretation?,PET,medical image restoration – low-dose artifact reduction,low-dose
481,Can you remove shot noise in this X-ray image affecting the meniscal tissue while maintaining diagnostic contrast for reliable interpretation?,X-ray,medical image restoration – denoising,noise
165,I need you to reduce quantum noise in this CT image affecting the myocardial wall without oversmoothing edges for accurate diagnosis?,CT,medical image restoration – denoising,noise
795,Can you address cardiac motion blur in this PET image affecting the white matter tracts while keeping anatomical boundaries sharp urgently?,PET,medical image restoration – deblurring,blur
592,"For this case, can you boost the insufficient in-plane resolution in this CT image affecting the cerebral vessels without hallucinating structures for immediate review?",CT,medical image restoration – super-resolution,SR
247,I need you to reduce defocus blur in this PET image affecting the meniscal tissue while preserving natural texture as soon as possible?,PET,medical image restoration – deblurring,blur
816,Can someone recover the insufficient in-plane resolution in this PET image affecting the knee cartilage while keeping boundaries anatomically consistent for accurate diagnosis?,PET,medical image restoration – super-resolution,SR
735,"For this case, can you sharpen motion blur affecting the cortical bone without introducing artificial edges as soon as possible?",implicit,medical image restoration – deblurring,blur
506,Can someone address respiratory motion blur affecting the hip joint without introducing artificial edges as soon as possible?,implicit,medical image restoration – deblurring,blur
441,"For clinical review, can you attenuate sparse-view artifacts in this X-ray scan affecting the pulmonary vessels while keeping edges sharp for accurate diagnosis?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
190,"For this case, can you address Gaussian noise in this MRI image affecting the orbital structures without compromising spatial resolution as soon as possible?",MRI,medical image restoration – denoising,noise
373,Can you refine the downsampled resolution in this PET image affecting the surrounding parenchyma while maintaining diagnostic integrity as soon as possible?,PET,medical image restoration – super-resolution,SR
444,Would you refine the low spatial resolution in this X-ray image affecting the nerve roots without hallucinating structures urgently?,X-ray,medical image restoration – super-resolution,SR
615,Could you attenuate Poisson noise in this MRI image affecting the pelvic organs without altering intensity relationships as soon as possible?,MRI,medical image restoration – denoising,noise
533,Can you compensate for spatial blurring in this MRI image affecting the nerve roots while keeping anatomical boundaries sharp ?,MRI,medical image restoration – deblurring,blur
933,Please sharpen scanner motion blur affecting the deep gray nuclei without introducing artificial edges for reliable interpretation?,implicit,medical image restoration – deblurring,blur
109,Is it possible to address partial volume blur in this CT image affecting the orbital structures while preserving natural texture for immediate review?,CT,medical image restoration – deblurring,blur
868,Please attenuate structured noise in this PET image affecting the cortical bone while preserving subtle pathology for reliable interpretation?,PET,medical image restoration – denoising,noise
950,"For this case, can you mitigate temporal blurring affecting the tumor margins without introducing artificial edges as soon as possible?",implicit,medical image restoration – deblurring,blur
414,I need you to reduce noise from aggressive dose reduction affecting the liver parenchyma while preserving low-contrast pathology for reliable interpretation?,implicit,medical image restoration – low-dose artifact reduction,low-dose
949,Would you attenuate undersampling streak artifacts in this CT scan affecting the deep gray nuclei without obscuring subtle lesions for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
206,Would you sharpen the reduced sampling density in this PET image affecting the sinus cavities without introducing artificial textures for reliable interpretation?,PET,medical image restoration – super-resolution,SR
224,Please reduce photon starvation streaks in this CT scan affecting the lesion boundaries without altering attenuation relationships for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
975,Is it possible to clean up quantum mottle affecting the pancreatic tissue without blurring fine anatomy for immediate clinical assessment?,implicit,medical image restoration – low-dose artifact reduction,low-dose
958,Could you enhance the coarse voxel resolution in this PET image affecting the hip joint while preserving anatomical realism ?,PET,medical image restoration – super-resolution,SR
544,Is it possible to sharpen system-induced blur affecting the bone trabeculae while maintaining diagnostic contrast for accurate diagnosis?,implicit,medical image restoration – deblurring,blur
766,"For this case, can you address speckle noise in this MRI image affecting the intervertebral discs while keeping anatomical boundaries sharp as soon as possible?",MRI,medical image restoration – denoising,noise
495,Can you correct noise from aggressive dose reduction affecting the cerebral vessels while preserving diagnostic contrast as soon as possible?,implicit,medical image restoration – low-dose artifact reduction,low-dose
935,Please clean up low-photon streaking affecting the vertebral bodies without obscuring subtle lesions as soon as possible?,implicit,medical image restoration – low-dose artifact reduction,low-dose
260,Please resolve patient motion blur in this MRI image affecting the vascular lumen while preserving natural texture ?,MRI,medical image restoration – deblurring,blur
515,Is it possible to clean up background acquisition noise in this CT image affecting the pancreatic tissue without altering intensity relationships as soon as possible?,CT,medical image restoration – denoising,noise
779,Would you filter out background acquisition noise affecting the hepatic vessels without masking small structures for immediate review?,implicit,medical image restoration – denoising,noise
863,Can you mitigate low-dose noise affecting the coronary vessels without masking small structures as soon as possible?,implicit,medical image restoration – denoising,noise
296,Can you reduce statistical noise affecting the shoulder tendons without blurring fine detail for accurate diagnosis?,implicit,medical image restoration – denoising,noise
928,Please address system-induced blur in this MRI image affecting the hip joint while preserving subtle pathology for accurate diagnosis?,MRI,medical image restoration – deblurring,blur
613,Would you correct defocus blur in this CT image affecting the myocardial wall while preserving natural texture for immediate review?,CT,medical image restoration – deblurring,blur
632,"For clinical review, can you correct dose reduction banding in this PET scan affecting the cortical bone while keeping edges sharp ?",PET,medical image restoration – low-dose artifact reduction,low-dose
232,Could you filter out structured noise in this X-ray image affecting the orbital structures while maintaining diagnostic contrast for accurate diagnosis?,X-ray,medical image restoration – denoising,noise
220,Can someone resolve system-induced blur affecting the soft tissue planes while maintaining diagnostic contrast for immediate review?,implicit,medical image restoration – deblurring,blur
130,Is it possible to reconstruct the coarse voxel resolution in this X-ray image affecting the knee cartilage while preserving subtle pathology as soon as possible?,X-ray,medical image restoration – super-resolution,SR
486,Can you address system-induced blur affecting the pelvic organs while maintaining diagnostic contrast ?,implicit,medical image restoration – deblurring,blur
317,Would you compensate for dose-induced graininess affecting the renal medulla while keeping edges sharp for reliable interpretation?,implicit,medical image restoration – low-dose artifact reduction,low-dose
165,I need you to mitigate undersampling streak artifacts affecting the cortical bone while keeping edges sharp as soon as possible?,implicit,medical image restoration – low-dose artifact reduction,low-dose
522,Can you sharpen the coarse voxel resolution in this MRI image affecting the hip joint without amplifying noise for immediate review?,MRI,medical image restoration – super-resolution,SR
993,Please suppress low-photon streaking in this X-ray scan affecting the cerebral vessels while maintaining anatomical fidelity for accurate diagnosis?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
259,Is it possible to remove out-of-plane motion blur in this CT image affecting the renal medulla while keeping anatomical boundaries sharp as soon as possible?,CT,medical image restoration – deblurring,blur
843,Please increase the loss of high-frequency detail in this MRI image affecting the renal medulla without introducing artificial textures for accurate diagnosis?,MRI,medical image restoration – super-resolution,SR
387,Would you correct temporal blurring in this X-ray image affecting the pelvic organs without distorting fine structures for reliable interpretation?,X-ray,medical image restoration – deblurring,blur
848,Can someone resolve temporal blurring in this X-ray image affecting the sinus cavities without amplifying noise as soon as possible?,X-ray,medical image restoration – deblurring,blur
574,Could you address dose-induced graininess in this X-ray scan affecting the tumor margins without obscuring subtle lesions ?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
234,Could you refine the resolution degradation from fast acquisition in this X-ray image affecting the soft tissue planes while preserving anatomical realism for immediate review?,X-ray,medical image restoration – super-resolution,SR
613,Could you recover the coarse voxel resolution in this X-ray image affecting the soft tissue planes while preserving anatomical realism urgently?,X-ray,medical image restoration – super-resolution,SR
102,Please refine the blurred detail due to low resolution affecting the lesion boundaries while maintaining diagnostic integrity for immediate review?,implicit,medical image restoration – super-resolution,SR
862,"For clinical review, can you correct undersampling streak artifacts in this CT scan affecting the spinal cord without blurring fine anatomy for immediate clinical assessment?",CT,medical image restoration – low-dose artifact reduction,low-dose
624,I need you to suppress Poisson noise in this X-ray image affecting the sinus cavities without masking small structures for accurate diagnosis?,X-ray,medical image restoration – denoising,noise
2,Could you correct Poisson noise in this X-ray image affecting the lung parenchyma while maintaining diagnostic contrast for reliable interpretation?,X-ray,medical image restoration – denoising,noise
210,Can you undo temporal blurring in this X-ray image affecting the myocardial wall while preserving natural texture as soon as possible?,X-ray,medical image restoration – deblurring,blur
621,Can you refine the low spatial resolution in this CT image affecting the renal medulla without introducing artificial textures ?,CT,medical image restoration – super-resolution,SR
92,"For clinical review, can you remove noise from aggressive dose reduction in this PET scan affecting the vertebral bodies while preserving diagnostic contrast as soon as possible?",PET,medical image restoration – low-dose artifact reduction,low-dose
949,Can you eliminate background acquisition noise in this MRI image affecting the lung parenchyma without compromising spatial resolution for immediate review?,MRI,medical image restoration – denoising,noise
911,Could you undo cardiac motion blur affecting the nerve roots without introducing artificial edges as soon as possible?,implicit,medical image restoration – deblurring,blur
719,Could you remove speckle noise in this X-ray image affecting the abdominal organs while maintaining diagnostic contrast for reliable interpretation?,X-ray,medical image restoration – denoising,noise
553,Is it possible to remove quantum mottle in this CT scan affecting the lesion boundaries while maintaining anatomical fidelity as soon as possible?,CT,medical image restoration – low-dose artifact reduction,low-dose
985,Could you suppress low-dose noise patterns affecting the kidney cortex while preserving diagnostic contrast for reliable interpretation?,implicit,medical image restoration – low-dose artifact reduction,low-dose
164,Would you correct low-dose noise patterns affecting the hepatic vessels without altering attenuation relationships as soon as possible?,implicit,medical image restoration – low-dose artifact reduction,low-dose
597,Can someone undo scanner motion blur in this CT image affecting the white matter tracts without distorting fine structures for accurate diagnosis?,CT,medical image restoration – deblurring,blur
951,"For this case, can you address shot noise in this PET image affecting the hip joint without compromising spatial resolution for immediate review?",PET,medical image restoration – denoising,noise
765,Please enhance the loss of high-frequency detail in this MRI image affecting the pelvic organs without introducing artificial textures urgently?,MRI,medical image restoration – super-resolution,SR
297,Would you remove reconstruction blur in this CT image affecting the hip joint while preserving subtle pathology as soon as possible?,CT,medical image restoration – deblurring,blur
717,Can you restore the downsampled resolution affecting the cardiac chambers without amplifying noise ?,implicit,medical image restoration – super-resolution,SR
508,"For this case, can you undo spatial blurring affecting the surrounding parenchyma without creating ringing artifacts urgently?",implicit,medical image restoration – deblurring,blur
865,Could you remove statistical noise amplification in this CT scan affecting the vertebral bodies without introducing artificial smoothing for reliable interpretation?,CT,medical image restoration – low-dose artifact reduction,low-dose
8,Can you correct defocus blur affecting the deep gray nuclei without creating ringing artifacts for immediate review?,implicit,medical image restoration – deblurring,blur
253,Can you suppress noise from aggressive dose reduction in this PET scan affecting the sinus cavities while keeping edges sharp for immediate clinical assessment?,PET,medical image restoration – low-dose artifact reduction,low-dose
55,Could you recover the insufficient in-plane resolution affecting the pulmonary vessels while maintaining diagnostic integrity for immediate review?,implicit,medical image restoration – super-resolution,SR
30,"For clinical review, can you address dose-induced graininess affecting the spinal cord without blurring fine anatomy for immediate clinical assessment?",implicit,medical image restoration – low-dose artifact reduction,low-dose
149,"For clinical review, can you eliminate dose-induced graininess in this X-ray scan affecting the renal medulla while keeping edges sharp ?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
87,Can you reduce dose reduction banding in this PET scan affecting the small lung nodules without introducing artificial smoothing ?,PET,medical image restoration – low-dose artifact reduction,low-dose
118,I need you to increase the low spatial resolution affecting the liver parenchyma while keeping boundaries anatomically consistent urgently?,implicit,medical image restoration – super-resolution,SR
551,Would you reduce sparse-view artifacts in this PET scan affecting the liver parenchyma without introducing artificial smoothing for reliable interpretation?,PET,medical image restoration – low-dose artifact reduction,low-dose
359,Can you recover the reduced sampling density in this MRI image affecting the meniscal tissue without amplifying noise for reliable interpretation?,MRI,medical image restoration – super-resolution,SR
178,Would you remove patient motion blur in this CT image affecting the liver parenchyma while preserving natural texture for immediate review?,CT,medical image restoration – deblurring,blur
854,Could you refine the loss of high-frequency detail affecting the vascular lumen while keeping boundaries anatomically consistent for accurate diagnosis?,implicit,medical image restoration – super-resolution,SR
779,I need you to eliminate quantum mottle in this CT scan affecting the soft tissue planes without blurring fine anatomy for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
791,Is it possible to correct patient motion blur in this X-ray image affecting the brain cortex without introducing artificial edges for immediate review?,X-ray,medical image restoration – deblurring,blur
335,Please attenuate Gaussian noise in this X-ray image affecting the intervertebral discs without altering intensity relationships as soon as possible?,X-ray,medical image restoration – denoising,noise
679,Can someone mitigate partial volume blur in this MRI image affecting the pulmonary vessels without introducing artificial edges for reliable interpretation?,MRI,medical image restoration – deblurring,blur
454,Can you sharpen the blurred detail due to low resolution affecting the spinal cord without distorting small structures for reliable interpretation?,implicit,medical image restoration – super-resolution,SR
